key_name,fr_CA,comment
Your session has expired. Please sign in again.,Votre session a expiré. Veuillez vous reconnecter.,
Your TreviPay account has been authorized and linked.,Votre compte %1 a été autorisé et lié.,
Your TreviPay Account has been deleted. Please sign in again.,Votre compte %1 a été supprimé. Veuillez vous reconnecter.,
Your TreviPay account has been suspended. This is likely due to past due payments or needing a credit line increase.,Votre compte TreviPay a été suspendu. Cela est probablement dû à des paiements en retard ou à la nécessité d'augmenter la ligne de crédit.,
"Your TreviPay account has been suspended. This is likely due to past due payments or needing a credit line increase. Please visit <a href=""%1"">%2</a> to resolve this matter.","Votre compte %3 a été suspendu. Cela est probablement dû à des paiements en retard ou à la nécessité d’augmenter votre ligne de crédit. Veuillez vous rendre sur le site <a href=""%1""> %2 </a> pour résoudre ce problème.",
Your TreviPay buyer account has been suspended. Please contact your company admin to resolve this matter.,Votre compte acheteur %1 a été suspendu. Veuillez contacter l’administrateur de votre entreprise pour résoudre ce problème.,
"Your TreviPay Credit Application has been approved, and pending setup. <strong>[ACTION REQUIRED]</strong> Please check your email (including spam/junk) to complete the activation via the link within. You can visit the TreviPay section for further detail.",Votre demande de crédit %1 a été approuvée et est en attente de mise en place. <strong>[ACTION REQUISE]</strong> Veuillez vérifier votre courrier électronique (y compris les spams et les courriers indésirables) pour compléter l'activation via le lien qui s'y trouve. Vous pouvez consulter la section %1 pour plus de détails.,
Your TreviPay Credit Application has been cancelled. Please visit the TreviPay section to find more details.,Votre demande de crédit %1 a été annulée. Veuillez consulter la section %1 pour plus de détails.,
Your TreviPay Credit Application has been declined. Please visit the TreviPay section for further details.,Votre demande de crédit %1 a été refusée. Veuillez consulter la section %1 pour plus de détails.,
Your TreviPay Credit Application has been withdrawn.,Votre demande de crédit %1 a été retirée.,
Your TreviPay Credit Application has been withdrawn. Please visit the TreviPay section to find more details.,Votre demande de crédit %1 a été retirée. Veuillez consulter la section %1 pour plus de détails.,
Your TreviPay Credit Application is pending direct debit. Please visit the TreviPay section to find more details.,Votre demande de crédit %1 est en attente de domiciliation. Veuillez consulter la section %1 pour plus de détails.,
Your TreviPay Credit Application is pending. Please visit the TreviPay section to find more details.,Votre demande de crédit %1 est en attente. Veuillez consulter la section %1 pour plus de détails.,
Zero Friction,Zéro friction,
